epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3585,1.24698,1.80181,1.54267,0.97246,0.96667,0.96711,0.3196,2.17626,1.57875,4.23178,0.000656085,0.000656085,0.000656085
2,50.8582,1.15897,0.76333,1.41936,0.76766,0.81502,0.77232,0.21386,2.61576,1.93189,4.48704,0.00130966,0.00130966,0.00130966
3,73.2648,1.17861,0.71987,1.41818,0.10163,0.92,0.09893,0.04519,1.81591,41.9895,3.11504,0.00195003,0.00195003,0.00195003
4,95.5718,1.16056,0.68399,1.42951,0.77463,0.82494,0.89005,0.38243,1.97845,1.22486,3.08461,0.0019406,0.0019406,0.0019406
5,118.073,1.12531,0.66083,1.37821,0.93053,0.92667,0.97345,0.53347,1.6234,1.27072,2.66655,0.0019208,0.0019208,0.0019208
6,140.679,1.11953,0.63133,1.38197,0.98474,0.8602,0.95575,0.48294,1.60443,0.75108,2.46599,0.001901,0.001901,0.001901
7,163.81,1.06624,0.59643,1.33889,0.95328,0.98667,0.99205,0.52212,1.55704,0.66461,2.59104,0.0018812,0.0018812,0.0018812
8,187.457,1.06433,0.57812,1.34026,0.99832,1,0.995,0.51483,1.56269,0.66026,2.52118,0.0018614,0.0018614,0.0018614
9,211.597,1.05616,0.56854,1.34012,0.96835,0.97333,0.99242,0.53128,1.61477,0.60092,2.62574,0.0018416,0.0018416,0.0018416
10,236.462,1.00541,0.55474,1.2881,0.91102,0.94667,0.95485,0.43258,1.92283,0.98232,3.17488,0.0018218,0.0018218,0.0018218
11,262.501,0.98866,0.5451,1.29131,0.97679,0.99333,0.9928,0.52493,1.59964,0.61036,2.64142,0.001802,0.001802,0.001802
12,289.029,0.96419,0.51976,1.28081,0.98624,0.99333,0.9942,0.35188,2.22989,0.73561,3.76589,0.0017822,0.0017822,0.0017822
13,315.178,0.95481,0.51147,1.2623,0.9794,0.98667,0.97693,0.40303,1.99843,0.62897,3.02876,0.0017624,0.0017624,0.0017624
14,341.784,0.94559,0.50453,1.26193,0.97583,0.99333,0.99325,0.53164,1.53245,0.7003,2.52484,0.0017426,0.0017426,0.0017426
15,368.696,0.95379,0.51763,1.26404,0.99286,0.99333,0.9948,0.46885,1.78886,0.61389,2.84796,0.0017228,0.0017228,0.0017228
16,395.421,0.91229,0.47956,1.23581,0.963,0.96,0.95605,0.45287,1.93661,0.7243,3.08665,0.001703,0.001703,0.001703
17,421.932,0.90681,0.4713,1.24282,0.99291,0.99333,0.98853,0.46134,1.81919,0.58402,2.8951,0.0016832,0.0016832,0.0016832
18,448.524,0.92585,0.47601,1.25504,0.98616,0.98667,0.97815,0.48559,1.80007,0.55975,2.89934,0.0016634,0.0016634,0.0016634
19,474.858,0.89624,0.46506,1.23707,0.99944,1,0.995,0.6233,1.33595,0.44792,2.11958,0.0016436,0.0016436,0.0016436
20,501.484,0.87807,0.45657,1.24072,0.99956,1,0.995,0.63647,1.34411,0.47847,2.09732,0.0016238,0.0016238,0.0016238
21,531.018,0.87104,0.46477,1.22049,0.99278,0.99333,0.98967,0.50355,1.72146,0.57277,2.75795,0.001604,0.001604,0.001604
22,597.148,0.89776,0.46329,1.22659,0.99912,1,0.995,0.58345,1.41577,0.48149,2.2746,0.0015842,0.0015842,0.0015842
23,625.046,0.86724,0.45424,1.21971,0.99953,1,0.995,0.53773,1.53534,0.4808,2.4644,0.0015644,0.0015644,0.0015644
24,652.074,0.8319,0.44582,1.19388,0.99935,1,0.995,0.46008,1.75766,0.5854,3.10815,0.0015446,0.0015446,0.0015446
25,711.247,0.84359,0.44349,1.18759,0.99972,1,0.995,0.60378,1.38071,0.44615,2.2583,0.0015248,0.0015248,0.0015248
26,738.69,0.83995,0.44023,1.19876,0.99958,1,0.995,0.59198,1.37481,0.43914,2.22209,0.001505,0.001505,0.001505
27,782.137,0.84548,0.44132,1.20666,0.99951,1,0.995,0.53147,1.61151,0.51506,2.65085,0.0014852,0.0014852,0.0014852
28,815.036,0.85139,0.43918,1.21874,0.99953,1,0.995,0.5362,1.5487,0.50009,2.74732,0.0014654,0.0014654,0.0014654
29,839.333,0.83309,0.43931,1.193,0.9988,1,0.995,0.64053,1.29986,0.4257,2.22279,0.0014456,0.0014456,0.0014456
30,863.043,0.81027,0.42267,1.18513,0.99289,0.99333,0.99133,0.58204,1.49977,0.4598,2.35977,0.0014258,0.0014258,0.0014258
31,887.284,0.81438,0.42852,1.18958,0.99957,1,0.995,0.59985,1.41214,0.43203,2.28751,0.001406,0.001406,0.001406
32,911.482,0.80629,0.4146,1.1802,0.99291,0.99333,0.9902,0.55058,1.56702,0.48827,2.6799,0.0013862,0.0013862,0.0013862
33,946.138,0.77907,0.41046,1.16403,0.99943,1,0.995,0.72564,1.02952,0.39076,1.67126,0.0013664,0.0013664,0.0013664
34,982.069,0.77934,0.41125,1.17235,0.99954,1,0.995,0.63595,1.2312,0.42302,2.0165,0.0013466,0.0013466,0.0013466
35,1030.37,0.79751,0.40921,1.17568,0.99958,1,0.995,0.6206,1.29808,0.40621,2.15942,0.0013268,0.0013268,0.0013268
36,1053.1,0.79063,0.39932,1.15534,0.99947,1,0.995,0.68099,1.18397,0.38651,1.99284,0.001307,0.001307,0.001307
37,1075.74,0.77579,0.39725,1.15592,0.99955,1,0.995,0.58289,1.41717,0.4401,2.32374,0.0012872,0.0012872,0.0012872
38,1098.83,0.75659,0.38332,1.14491,0.99286,0.99333,0.9898,0.50084,1.66864,0.5144,3.02309,0.0012674,0.0012674,0.0012674
39,1122.22,0.78097,0.39513,1.16394,0.99949,1,0.995,0.5319,1.54782,0.45575,2.65465,0.0012476,0.0012476,0.0012476
40,1145.65,0.77718,0.39795,1.16111,0.99959,1,0.995,0.62189,1.36066,0.44013,2.31693,0.0012278,0.0012278,0.0012278
41,1169.2,0.75747,0.39045,1.15475,0.99959,1,0.995,0.71547,1.06395,0.34609,1.80936,0.001208,0.001208,0.001208
42,1193.02,0.75178,0.38644,1.15148,0.99957,1,0.995,0.6447,1.29372,0.40381,2.19065,0.0011882,0.0011882,0.0011882
43,1216.71,0.75558,0.38869,1.14749,0.99959,1,0.995,0.63119,1.32605,0.40632,2.19538,0.0011684,0.0011684,0.0011684
44,1241.35,0.72845,0.37399,1.13579,0.99947,1,0.995,0.58029,1.50864,0.46508,2.65932,0.0011486,0.0011486,0.0011486
45,1267.46,0.74285,0.37026,1.14426,0.9996,1,0.995,0.60369,1.364,0.41977,2.21403,0.0011288,0.0011288,0.0011288
46,1293.44,0.74119,0.38011,1.13607,0.9996,1,0.995,0.64429,1.32079,0.42006,2.22468,0.001109,0.001109,0.001109
47,1319.29,0.72101,0.37011,1.13676,0.9996,1,0.995,0.68228,1.13114,0.3723,1.94033,0.0010892,0.0010892,0.0010892
48,1343.04,0.74879,0.38267,1.1399,0.99957,1,0.995,0.66358,1.20956,0.39093,1.98416,0.0010694,0.0010694,0.0010694
49,1366.88,0.71839,0.36711,1.12735,0.9991,0.97333,0.98208,0.65217,1.26042,0.45863,2.2876,0.0010496,0.0010496,0.0010496
50,1390.62,0.72174,0.37443,1.12458,0.9996,1,0.995,0.65342,1.19768,0.38778,2.05374,0.0010298,0.0010298,0.0010298
51,1414.3,0.71582,0.37222,1.1306,0.99957,1,0.995,0.62461,1.33677,0.41446,2.27628,0.00101,0.00101,0.00101
52,1438.06,0.73293,0.38207,1.13403,0.99959,1,0.995,0.66387,1.16058,0.36438,1.96961,0.0009902,0.0009902,0.0009902
53,1461.73,0.7067,0.37158,1.12338,0.99959,1,0.995,0.56548,1.45838,0.45492,2.52193,0.0009704,0.0009704,0.0009704
54,1485.75,0.72767,0.37018,1.14142,0.99293,0.99333,0.99087,0.56219,1.44415,0.45395,2.46464,0.0009506,0.0009506,0.0009506
55,1509.7,0.71194,0.36577,1.14349,0.99961,1,0.995,0.67428,1.13763,0.36379,2.03496,0.0009308,0.0009308,0.0009308
56,1533.61,0.7076,0.36302,1.11407,0.99959,1,0.995,0.61355,1.32985,0.40204,2.21555,0.000911,0.000911,0.000911
57,1557.46,0.70442,0.36171,1.12003,0.99957,1,0.995,0.62539,1.25956,0.39431,2.03927,0.0008912,0.0008912,0.0008912
58,1581.34,0.7098,0.37013,1.13229,0.99949,1,0.995,0.62965,1.24593,0.41441,2.04231,0.0008714,0.0008714,0.0008714
59,1605.09,0.6877,0.34979,1.11237,0.99959,1,0.995,0.62355,1.30104,0.40369,2.27413,0.0008516,0.0008516,0.0008516
60,1628.86,0.69503,0.35442,1.11308,0.99958,1,0.995,0.56983,1.51411,0.49282,2.54232,0.0008318,0.0008318,0.0008318
61,1652.61,0.68724,0.34969,1.10657,0.99961,1,0.995,0.64679,1.27783,0.41438,2.17438,0.000812,0.000812,0.000812
62,1676.3,0.6859,0.35371,1.10861,0.99954,1,0.995,0.65539,1.20273,0.36847,2.09116,0.0007922,0.0007922,0.0007922
63,1700.03,0.67879,0.34995,1.11086,0.9996,1,0.995,0.61748,1.31098,0.40625,2.22477,0.0007724,0.0007724,0.0007724
64,1723.74,0.68205,0.3506,1.10705,0.9996,1,0.995,0.63982,1.25502,0.3825,2.09791,0.0007526,0.0007526,0.0007526
65,1747.45,0.68355,0.35105,1.10812,0.9996,1,0.995,0.68164,1.16166,0.36366,2.01054,0.0007328,0.0007328,0.0007328
66,1771.51,0.66765,0.34121,1.10196,0.99959,1,0.995,0.67915,1.18812,0.36977,2.03785,0.000713,0.000713,0.000713
67,1795.38,0.68454,0.34361,1.11207,0.9996,1,0.995,0.65128,1.23111,0.36755,2.0904,0.0006932,0.0006932,0.0006932
68,1819.43,0.67192,0.33769,1.10506,0.9996,1,0.995,0.61625,1.32344,0.40239,2.30823,0.0006734,0.0006734,0.0006734
69,1843.22,0.69316,0.34951,1.11744,0.99959,1,0.995,0.68697,1.14947,0.35768,1.96661,0.0006536,0.0006536,0.0006536
70,1866.97,0.64735,0.32995,1.08798,0.99292,0.99333,0.98867,0.59978,1.38023,0.41932,2.41195,0.0006338,0.0006338,0.0006338
71,1890.72,0.65416,0.32496,1.09877,0.99959,1,0.995,0.68027,1.17025,0.35324,2.042,0.000614,0.000614,0.000614
72,1914.33,0.65817,0.32523,1.09287,0.99959,1,0.995,0.64636,1.26172,0.3805,2.1701,0.0005942,0.0005942,0.0005942
73,1938.26,0.66431,0.33421,1.1014,0.9996,1,0.995,0.64241,1.30652,0.39591,2.17757,0.0005744,0.0005744,0.0005744
74,1962.09,0.65235,0.32928,1.08902,0.99957,1,0.995,0.66255,1.22334,0.3624,2.12316,0.0005546,0.0005546,0.0005546
75,1985.97,0.64673,0.32378,1.09799,0.99955,1,0.995,0.64794,1.25042,0.37731,2.18416,0.0005348,0.0005348,0.0005348
76,2010.04,0.64507,0.32311,1.09132,0.99959,1,0.995,0.63773,1.25444,0.38131,2.11884,0.000515,0.000515,0.000515
